07:14:01 [LOG]      > (iCARUS) : Got all contributions of student mfusil
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student mgeisler
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student misimon
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student mpankewi
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student ndick
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student pwolff
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student snow
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student stissera
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student swalter
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student thomathi
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student tkempf-e
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student tunsinge
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student tvanbael
07:14:01 [LOG]      > (iCARUS) : Got all contributions of student yabed
07:14:01 [LOG]      > (iCARUS) : Got all students
07:14:10 [LOG]      > (iCARUS) : Got student with login iCARUS
07:14:10 [WARNING]  > (iCARUS) : Updated session (admin)
07:14:10 [LOG]      > (iCARUS) : Got session
07:14:10 [LOG]      > (iCARUS) : Got session
07:14:10 [LOG]      > (iCARUS) : Got session
07:14:10 [LOG]      > (iCARUS) : Got session
07:14:10 [LOG]      > (iCARUS) : Got all goodies
07:14:10 [LOG]      > (iCARUS) : Got thumbnail of goodies 9
07:14:10 [LOG]      > (iCARUS) : Got thumbnail of goodies 10
07:14:10 [LOG]      > (iCARUS) : Got all filtered events
07:14:10 [LOG]      > (iCARUS) : Got thumbnail of event 1
07:14:10 [LOG]      > (iCARUS) : Got thumbnail of goodies 8
07:22:19 [LOG]      > (iCARUS) : Got student with login iCARUS
07:22:19 [WARNING]  > (iCARUS) : Updated session (admin)
07:22:19 [LOG]      > (iCARUS) : Got session
07:22:19 [LOG]      > (iCARUS) : Got session
07:22:19 [LOG]      > (iCARUS) : Got session
07:22:19 [LOG]      > (iCARUS) : Got session
07:22:19 [LOG]      > (iCARUS) : Got all goodies
07:22:19 [LOG]      > (iCARUS) : Got thumbnail of goodies 9
07:22:19 [LOG]      > (iCARUS) : Got thumbnail of goodies 8
07:22:19 [LOG]      > (iCARUS) : Got thumbnail of goodies 10
07:22:19 [LOG]      > (iCARUS) : Got all filtered events
07:22:19 [LOG]      > (iCARUS) : Got thumbnail of event 1
07:29:58 [LOG]      > (Public) : Got session
07:29:59 [LOG]      > (Public) : Got session
07:29:59 [LOG]      > (Public) : Got all goodies
07:29:59 [LOG]      > (Public) : Got session
07:29:59 [LOG]      > (Public) : Got session
07:30:00 [LOG]      > (Public) : Got thumbnail of goodies 9
07:30:00 [LOG]      > (Public) : Got thumbnail of goodies 8
07:30:00 [LOG]      > (Public) : Got thumbnail of goodies 10
07:31:59 [LOG]      > (Public) : Got goodies with id 8
07:31:59 [LOG]      > (Public) : Got album of goodies 8
07:33:13 [LOG]      > (Public) : Got goodies with id 10
07:33:13 [LOG]      > (Public) : Got album of goodies 10
07:33:24 [LOG]      > (Public) : Got goodies with id 9
07:33:24 [LOG]      > (Public) : Got album of goodies 9
07:33:49 [LOG]      > (Public) : Got session
07:33:50 [LOG]      > (42intra-API) : Created new student llion
07:33:50 [LOG]      > (42intra-API) : Logged student llion
07:33:50 [WARNING]  > (42intra-API) : Failed -> Find student with login llion : student does not exist
07:33:50 [WARNING]  > (42intra-API) : Failed -> Find student with login llion : student does not exist
07:33:50 [LOG]      > (llion) : Got session
07:33:51 [LOG]      > (llion) : Got student with login llion
07:33:51 [WARNING]  > (llion) : Updated session (admin)
07:33:52 [LOG]      > (llion) : Got session
07:33:52 [LOG]      > (llion) : Got all goodies
07:33:52 [LOG]      > (llion) : Got session
07:33:52 [LOG]      > (llion) : Got session
07:33:53 [LOG]      > (llion) : Got session
07:33:53 [LOG]      > (llion) : Got thumbnail of goodies 9
07:33:53 [LOG]      > (llion) : Got thumbnail of goodies 8
07:33:53 [LOG]      > (llion) : Got thumbnail of goodies 10
07:33:53 [LOG]      > (llion) : Got all filtered events
07:33:54 [LOG]      > (llion) : Got thumbnail of event 1
07:34:07 [LOG]      > (llion) : Got thumbnail of event 1
07:34:07 [LOG]      > (llion) : Got event with id 1 
07:34:07 [LOG]      > (llion) : Got student with login llion
07:34:08 [LOG]      > (llion) : Checked if student llion is subbed to event 1
07:34:08 [LOG]      > (llion) : Checked if student llion is subbed to event 1
07:34:08 [LOG]      > (llion) : Got event with id 1 
07:34:08 [LOG]      > (llion) : Checked if student llion is subbed to event 1
07:34:08 [LOG]      > (llion) : Checked if student llion is subbed to event 1
07:39:53 [LOG]      > (Public) : Got session
07:39:53 [LOG]      > (Public) : Got all goodies
07:39:54 [LOG]      > (Public) : Got session
07:39:54 [LOG]      > (Public) : Got thumbnail of goodies 9
07:39:54 [LOG]      > (Public) : Got thumbnail of goodies 8
07:39:54 [LOG]      > (Public) : Got thumbnail of goodies 10
07:39:54 [LOG]      > (Public) : Got session
07:39:54 [LOG]      > (Public) : Got session
07:40:23 [LOG]      > (Public) : Got album of goodies 8
07:40:23 [LOG]      > (Public) : Got goodies with id 8
07:55:00 [LOG]      > (Public) : Got session
07:55:01 [LOG]      > (Public) : Got all goodies
07:55:01 [LOG]      > (Public) : Got session
07:55:01 [LOG]      > (Public) : Got session
07:55:01 [LOG]      > (Public) : Got thumbnail of goodies 9
07:55:01 [LOG]      > (Public) : Got thumbnail of goodies 8
07:55:02 [LOG]      > (Public) : Got thumbnail of goodies 10
07:55:02 [LOG]      > (Public) : Got session
08:06:41 [LOG]      > (Public) : Got session
08:06:42 [LOG]      > (Public) : Got session
08:06:42 [LOG]      > (Public) : Got session
08:06:42 [LOG]      > (Public) : Got session
08:06:42 [LOG]      > (Public) : Got all goodies
08:06:42 [LOG]      > (Public) : Got thumbnail of goodies 9
08:06:42 [LOG]      > (Public) : Got thumbnail of goodies 8
08:06:42 [LOG]      > (Public) : Got thumbnail of goodies 10
08:07:21 [LOG]      > (Public) : Got session
08:07:21 [LOG]      > (Public) : Got session
08:07:21 [LOG]      > (Public) : Got session
08:07:21 [LOG]      > (Public) : Got session
08:07:21 [LOG]      > (Public) : Got all goodies
08:07:21 [LOG]      > (Public) : Got thumbnail of goodies 9
08:07:21 [LOG]      > (Public) : Got thumbnail of goodies 8
08:07:21 [LOG]      > (Public) : Got thumbnail of goodies 10
08:13:45 [LOG]      > (Public) : Got session
08:13:45 [LOG]      > (Public) : Got session
08:13:45 [LOG]      > (Public) : Got session
08:13:45 [LOG]      > (Public) : Got session
08:13:45 [LOG]      > (Public) : Got all goodies
08:13:45 [LOG]      > (Public) : Got thumbnail of goodies 9
08:13:45 [LOG]      > (Public) : Got thumbnail of goodies 10
08:13:45 [LOG]      > (Public) : Got thumbnail of goodies 8
08:14:15 [LOG]      > (Public) : Got session
08:14:15 [LOG]      > (42intra-API) : Created new student manie
08:14:15 [ERROR]    > (42intra-API) : Failed -> Log student on database (QueryFailedError: null value in column "img_medium" of relation "stud" violates not-null constraint)
08:14:15 [WARNING]  > (42intra-API) : Failed -> Find student with login manie : student does not exist
08:14:15 [WARNING]  > (42intra-API) : Failed -> Find student with login manie : student does not exist
08:14:23 [LOG]      > (Public) : Got session
08:14:25 [LOG]      > (Public) : Got session
08:14:25 [LOG]      > (Public) : Got all goodies
08:14:25 [LOG]      > (Public) : Got session
08:14:25 [LOG]      > (Public) : Got thumbnail of goodies 9
08:14:25 [LOG]      > (Public) : Got thumbnail of goodies 8
08:14:25 [LOG]      > (Public) : Got thumbnail of goodies 10
08:14:25 [LOG]      > (Public) : Got session
08:14:25 [LOG]      > (Public) : Got session
08:24:45 [LOG]      > (Public) : Got session
08:24:45 [LOG]      > (Public) : Got session
08:24:45 [LOG]      > (Public) : Got session
08:24:45 [LOG]      > (Public) : Got session
08:24:46 [LOG]      > (Public) : Got all goodies
08:24:46 [LOG]      > (Public) : Got thumbnail of goodies 9
08:24:46 [LOG]      > (Public) : Got thumbnail of goodies 8
08:24:46 [LOG]      > (Public) : Got thumbnail of goodies 10
08:43:55 [LOG]      > (iCARUS) : Got student with login iCARUS
08:43:55 [WARNING]  > (iCARUS) : Updated session (admin)
08:43:55 [LOG]      > (iCARUS) : Got session
08:43:55 [LOG]      > (iCARUS) : Got all goodies
08:43:55 [LOG]      > (iCARUS) : Got session
08:43:55 [LOG]      > (iCARUS) : Got session
08:43:55 [LOG]      > (iCARUS) : Got session
08:43:55 [LOG]      > (iCARUS) : Got thumbnail of goodies 9
08:43:55 [LOG]      > (iCARUS) : Got thumbnail of goodies 8
08:43:55 [LOG]      > (iCARUS) : Got thumbnail of goodies 10
08:43:55 [LOG]      > (iCARUS) : Got all filtered events
08:43:55 [LOG]      > (iCARUS) : Got thumbnail of event 1
09:14:54 [LOG]      > (Link) : Got student with login Link
09:14:54 [WARNING]  > (Link) : Updated session (admin)
09:14:54 [LOG]      > (Link) : Got session
09:14:54 [LOG]      > (Link) : Got all goodies
09:14:54 [LOG]      > (Link) : Got session
09:14:54 [LOG]      > (Link) : Got session
09:14:54 [LOG]      > (Link) : Got session
09:14:54 [LOG]      > (Link) : Got thumbnail of goodies 9
09:14:55 [LOG]      > (Link) : Got thumbnail of goodies 10
09:14:55 [LOG]      > (Link) : Got thumbnail of goodies 8
09:14:55 [LOG]      > (Link) : Got all filtered events
09:14:55 [LOG]      > (Link) : Got thumbnail of event 1
09:14:57 [LOG]      > (Link) : Got thumbnail of event 1
09:14:57 [LOG]      > (Link) : Got student with login Link
09:14:57 [LOG]      > (Link) : Got event with id 1 
09:14:57 [LOG]      > (Link) : Checked if student Link is subbed to event 1
09:14:57 [LOG]      > (Link) : Checked if student Link is subbed to event 1
09:14:57 [LOG]      > (Link) : Got event with id 1 
09:14:57 [LOG]      > (Link) : Checked if student Link is subbed to event 1
09:16:31 [LOG]      > (Public) : Got session
09:16:31 [LOG]      > (Public) : Got session
09:16:31 [LOG]      > (Public) : Got all goodies
09:16:31 [LOG]      > (Public) : Got session
09:16:31 [LOG]      > (Public) : Got session
09:16:31 [LOG]      > (Public) : Got thumbnail of goodies 9
09:16:31 [LOG]      > (Public) : Got thumbnail of goodies 10
09:16:31 [LOG]      > (Public) : Got thumbnail of goodies 8
09:17:35 [LOG]      > (Public) : Got session
09:17:35 [LOG]      > (Public) : Got session
09:17:35 [LOG]      > (Public) : Got session
09:17:49 [LOG]      > (Public) : Got session
